CODERESP;SECURITYID;BIRTHYEARR;control1;control3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON1ACC1_07;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON2ACC1_06;REASON2ACC1_07;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;IMPORTANCE1;VOTE2;VOTE2A;VOTE2B;VOTE2C;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON2ACC2_04;REASON2ACC2_05;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON1DEN2_04;REASON1DEN2_05;REASON1DEN2_06;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;IMPORTANCE2;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_13;TRUST_16;TRUST_23;TRUST_29;TRUST_31;TRUST_63;LRSP;VALUE1;VALUE3;VALUE4;VALUE8;VALUE9;VALUE10;VALUE12;VALUE13;VALUE16;VALUE17;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;ZUSATZ1_1;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;ZUSATZ2_1;ZUSATZ2_2;ZUSATZ3;MEDEREI_1;MEDEREI_2;MEDEREI_3;ZUSATZ4;ZUSATZ5;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2
10451;20240922.32669.242;1973;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;weil wir bereits genug dafür tun. zu grosse Einschränkungen in der Landwirtschaft;32;31;56; ; ; ;99; ; ; ; ;6;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;7;1;2;1;4;3;4;5;4;0;2;1;3;0;2;3;6;98;6;4;5;6;4;1;1;5;4;4;1;1;2;3;4;1;3;3;2;1;1;3;2;2;1;1;1;4;3;2;98;1;1;3;2;3;6;2;2;1;0;0;0;7;1;0;0;4;0;0;0;4;3;3;3;3;3;2;1;4;1;4;1;1;1;1;2;2;32;3;99999998;32;21;1;2;51;3;11;1;2;,889776833940774;,769402254127823
10453;20240922.35485.242;1954;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;1;1;2;99999998;99999998;Fragwürdige Politikerin Lobbysmus Kampanien;15; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;8;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;AHV stärken, wäre wichtiger;13; ; ; ; ; ;BVG in Privathänder-Versicherungen. Verwaltungskosten = zu undurchsichtig;33;53; ; ;10;8;5;5;5;6;8;7;8;7;8;3;8;8;5;8;7;7;5;4;3;5;3;3;2;2;5;2;1;1;2;2;1;1;2;3;2;1;1;3;2;8;1;1;8;4;4;8;98;98;98;8;1;2;7;5;8;5;2;2;0;3;6;3;0;0;0;1;3;1;1;2;1;0;5;7;4;3;2;9;1;1;1;1;2;2;32;7;1;12;10;1;1;99999998;99999998;2;2;1;1,50644818813072;2,3073280088545
10455;20240922.44804.242;1994;99999998;99999998; ;1;8;8;8;8;8;8;8;8;8;8;8;8;8;1;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;5;5;5;5;5;5;5;5;5;0;5;10;5;5;5;5;98;4;9;9;9;9;3;9;9;9;9;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;98;98;98;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;1;1;1;1;2;1;32;3;99999998;33;10;2;8;99999998;99999998;4;3;1;1,35162946050161;1,35162946050161
10456;20240922.32187.242;1988;99999998;99999998; ;2;2;2;0;0;0;0;0;0;0;1;0;0;0;2;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;7;7;7;6;5;8;6;7;5;7;6;5;8;8;7;8;2;2;1;1;2;1;1;2;9;2;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;1;1;1;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;2;1;2;1;1;2;32;3;99999998;32;21;1;1;99999998;99999998;4;3;1;1,09039311820186;1,09692304288426
10458;20240922.42776.242;1998;99999998;99999998; ;2;3;2;0;0;0;0;0;0;0;1;0;0;0;1;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;9;10;7;4;8;7;10;9;9;7;10;10;6;7;7;10;8;3;3;1;6;6;1;1;3;3;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;1;2;1;8;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;7;1;1;1;1;2;2;52;3;99999998;33;10;1;3;99999998;99999998;12;3;1;1,42245932594492;1,43097786123933
10460;20240922.35875.242;2003;99999998;99999998; ;2;3;2;0;0;0;0;0;0;0;1;0;0;0;9;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;7;6;5;5;7;9;3;5;5;6;5;2;5;5;7;5;3;3;3;2;1;2;8;1;3;1;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;2;2;2;8;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;5;9;1;1;1;1;1;32;3;99999998;32;10;1;4;51;1;98;2;1;1,47312541967458;1,48194737377318
10461;20240922.37885.242;1942;99999998;99999998; ;2;2;2;0;0;0;1;1;0;0;0;0;0;0;17;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;5;98;5;7;98;3;5;98;98;98;3;5;5;98;98;98;5;5;3;8;6;1;6;1;1;6;6;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;2;1;1;1;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;4;1;1;1;2;6;22;7;3;33;98;1;1;99999998;99999998;2;2;1;1,68070718194811;1,69077225951333
10463;20240922.37943.242;1973;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;2;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Vorlage ging zu weit;52; ; ; ; ;Empfehlung BR;95; ; ; ; ;8;1;2;99999998;99999998;Reform ist notwendig: Alter/Frauen(usw. 20J ohne Anpassungen;33;36;41; ; ;99; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;6;8;9;5;3;5;6;7;3;4;3;7;5;4;5;6;6;6;3;4;3;3;2;5;1;4;2;3;1;2;2;2;2;1;2;3;3;2;2;2;1;2;3;2;2;2;1;2;1;1;1;3;1;1;8;0;0;10;0;0;0;8;0;0;8;5;0;10;0;0;0;0;0;0;5;0;10;2;1;9;1;2;2;2;99999998;99999998;52;3;99999998;32;10;1;1;99999998;99999998;98;1;1;1,68739019260445;1,35040257169039
10470;20240922.42049.242;1977;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;6;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;7;8;7;5;7;8;9;7;7;8;6;5;7;7;5;7;9;7;4;4;2;3;1;4;1;1;1;5;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;1;2;3;1;1;3;0;8;8;0;0;0;0;0;0;3;0;0;0;0;3;5;2;3;3;7;5;8;4;1;8;1;1;1;1;1;2;52;3;99999998;33;21;1;3;99999998;99999998;14;1;1;,700691617639851;,605897669500864
10471;20240922.39494.242;1977;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;17;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;zu viel in eine Abstimmung hineingenommen. Einzelne Aspekte waren sehr gut andere durfte man nicht annahmen.;13;53; ; ; ; ;99; ; ; ; ;7;2;99999998;8;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;5;5;6;2;2;4;7;3;4;2;4;2;6;4;5;4;5;8;4;8;3;4;1;5;2;2;3;4;1;8;2;3;1;4;2;2;2;2;3;3;2;3;8;2;2;8;8;2;2;1;2;3;8;3;1;0;2;8;0;0;1;1;0;0;7;0;0;10;0;2;3;3;1;0;1;1;9;3;1;10;3;1;1;1;1;4;52;3;99999998;33;10;2;3;99999998;99999998;14;1;1;,475069452446132;,410799083136901
10472;20240922.39615.242;1967;99999998;99999998; ;2;2;2;0;0;0;1;0;0;0;0;0;0;0;2;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;6;6;6;2;4;7;6;4;4;8;6;98;9;9;8;6;5;3;1;1;1;1;1;1;1;6;6;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;2;1;98;8;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;6;2;1;1;1;2;4;51;3;99999998;32;10;2;8;99999998;99999998;9;1;1;1,34478531766154;1,3528386946425
10474;20240922.34916.242;1973;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;17;2;99999998;8;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;7;2;99999998;8;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;7;8;7;4;3;3;8;7;3;3;3;8;5;5;5;7;7;7;8;8;8;8;2;8;8;1;3;3;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;98;98;98;4;8;3;98;98;5;7;0;5;0;7;0;0;0;2;0;0;3;0;0;0;0;0;7;0;7;3;1;10;16;1;1;2;99999998;99999998;52;3;99999998;31;10;1;1;99999998;99999998;15;1;2;,832650425727816;,720004264010897
10475;20240922.46353.242;1964;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;8;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;alles wird übertrieben, zu extrem;52; ; ; ; ;schlecht für die Wirtschaft;57; ; ; ; ;2;1;2;99999998;99999998;eine Verbesserung;12; ; ; ; ;99; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;7;2;2;2;3;3;3;3;3;3;2;2;9;2;1;1;6;5;3;3;3;4;2;3;3;2;6;5;1;2;4;3;3;3;1;1;3;2;2;3;3;8;2;1;1;2;2;4;2;1;1;2;1;2;4;1;1;1;3;3;2;0;1;1;1;0;0;0;0;2;2;2;2;2;2;2;2;4;1;6;16;1;1;1;2;2;32;3;99999998;32;10;1;1;99999998;99999998;7;1;1;,752349951677776;,602098621889386
10477;20240922.46911.242;1950;99999998;99999998; ;2;2;2;0;0;0;1;0;0;0;0;0;0;0;3;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;5;4;3;5;5;6;5;0;7;3;7;5;3;4;5;7;6;3;3;3;2;3;8;2;2;2;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;98;1;1;8;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;10;3;1;1;1;1;2;32;7;3;33;22;1;8;99999998;99999998;7;1;2;1,65730472832239;1,66722965802992
10481;20240922.41847.242;1962;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;4;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Es gibt schon genug Einschränkungen. Initiative ging zu weit.;32;52; ; ; ;Kostenfrage, wer zahlt dafür;41;44; ; ; ;1;1;2;99999998;99999998;Rente für kleine Einkommen. Rente für mehr Personen;43; ; ; ;Beitagssicherung für Junge, Rentensicherung für Ältere;34;35; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;0;6;7;7;7;5;9;8;6;3;3;5;4;3;6;8;2;7;2;5;4;1;6;6;6;1;5;6;1;1;4;4;2;1;1;2;4;2;2;1;1;1;3;1;3;1;8;2;1;1;1;2;1;3;8;0;0;0;0;0;0;8;8;6;0;0;0;0;0;2;5;2;0;3;8;3;2;3;1;9;4;1;2;2;99999998;99999998;40;3;99999998;33;22;1;2;32;3;10;1;2;,925362066938433;,740558597777342
10489;20240922.44836.242;1994;99999998;99999998; ;2;4;2;0;0;0;0;1;0;0;0;0;0;0;16;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;5;3;5;5;5;5;3;3;3;3;2;5;3;3;4;3;5;6;6;6;1;1;1;6;6;1;6;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;98;98;98;8;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;0;16;2;2;2;99999998;99999998;32;3;99999998;32;10;1;2;32;3;9;3;1;1,11520331949238;1,12188182246556
10490;20240922.35014.242;1978;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Die Umsetzungen sind teuer, tragen nicht dem BIP bei.;41; ; ; ; ;Wenn es Regelungen gibt sollen es Internationale sein, welche alle einhalten müssen. Unmögliches für andere Länder darf nicht Gesetz werden.  Das System geht mit der 10 Milionen Schweiz nicht auf.  Aus einer Statistik des Bundes habe ich gelesen, dass die Schweiz die Nahrung nicht mehr selber Produzieren kann, welche sie selber Futtert. Es war von einem Nahrungsende ab jeweils August die Rede.  Biodiversistät fängt also unter 6 Millionenschweiz wieder an.;56; ; ; ; ;98;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Die Aussagen von der Befürworter waren falsch. BVG ist eine persönliche Vorsorge. Man Spart nicht für andere.;54; ; ; ; ; ; ;99; ; ; ;5;0;2;0;0;5;7;5;0;5;0;5;8;0;0;0;5;9;6;4;5;6;1;3;1;1;5;6;1;1;4;4;1;4;2;2;4;1;1;4;4;2;8;1;1;4;4;1;2;2;2;8;8;1;5;0;0;7;0;3;0;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;8;3;1;10;1;1;1;2;99999998;99999998;51;1;99999998;31;10;1;3;99999998;99999998;9;3;2;,662404506951054;,572790278811073
10492;20240922.35813.242;1970;99999998;99999998; ;1;3;2;0;0;0;1;0;0;0;0;0;0;0;4;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;8;8;5;4;5;8;7;5;5;5;8;4;5;5;6;4;5;1;6;6;6;1;6;1;1;6;6;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;2;2;2;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;4;1;1;1;2;1;32;3;99999998;32;21;1;3;99999998;99999998;10;1;2;1,60606219993566;1,61568025880429
10500;20240922.49676.242;1974;99999998;99999998; ;2;2;2;0;0;0;0;0;0;0;0;0;0;1;17;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;1;3;98;5;4;8;4;6;4;6;1;8;8;8;8;98;98;4;3;3;4;2;3;1;1;3;5;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;1;1;98;2;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;9;16;9;8;2;99999998;99999998;98;98;99999998;99999998;98;99999998;8;99999998;99999998;98;2;1;2,51483612452779;2,52333822733933
10501;20240922.35559.242;1971;99999998;99999998; ;1;2;2;1;0;1;0;0;0;0;0;0;0;0;3;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;7;6;5;6;5;7;7;6;5;6;3;5;8;5;5;5;6;2;4;2;3;1;2;3;4;2;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;2;1;1;8;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;3;3;1;1;1;1;2;52;3;99999998;32;10;1;1;99999998;99999998;14;1;1;2,20560084503862;2,21305749199977
10504;20240922.34679.242;2002;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;5;1;4;99999998;99999998;Biodiversität ist wichtig um die Umwelt und auch uns im Gleichgewicht zu behalten. Wir sind im direktem Verhältnis mit dem Wohlbefinden unserer umwelt und dies soll auch eine Preorität sein.;32;31; ; ; ; ; ; ;99; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;7;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;3;5;7;5;4;4;10;6;98;10;9;8;6;9;10;10;7;0;1;1;1;1;1;2;1;5;3;1;1;1;2;1;1;2;3;3;1;2;3;4;1;1;3;3;2;2;2;2;2;1;98;8;1;1;2;1;5;1;0;0;4;6;4;0;2;4;10;0;5;7;7;0;1;2;2;0;0;4;1;10;5;2;2;2;99999998;99999998;40;6;6;99999998;22;99999998;4;52;3;10;1;1;2,18759454029646;1,92553886133687
10505;20240922.35537.242;2001;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;8;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;3;1;8;99999998;99999998; ;99; ; ; ; ; ; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;8;6;7;3;3;98;7;5;98;98;3;98;0;8;5;3;8;6;3;3;9;4;1;2;6;1;4;2;2;3;3;3;2;3;8;1;3;1;3;8;8;8;8;8;8;8;8;8;2;1;1;1;8;3;1;0;0;10;0;0;3;5;5;0;5;5;0;0;6;3;0;3;0;0;1;0;10;4;1;4;18;1;2;2;99999998;99999998;51;3;99999998;33;21;1;8;99999998;99999998;98;3;1;1,76202263071265;1,8331555983674
10509;20240922.40439.242;1989;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;17;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Ich bin der Meinung es wird bereits genügend für die Biodiversität bzw. Naturschutz unternommen. Alles hat irngendwo mal grenzen;31;32; ; ; ; ;99; ; ; ; ;0;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Die Idee Grundsätzlich gut. Jedoch hätte wieder jeder Normalverdiener mehr bezahlt. Und dafür fehlt langsam vielen das Geld.;31;44; ; ; ; ; ;99; ; ; ;10;1;1;5;0;5;4;5;5;5;0;5;5;0;1;0;4;8;5;5;5;5;2;5;1;1;5;3;1;1;4;2;2;4;2;1;4;1;2;3;2;3;1;1;2;2;2;8;1;98;98;8;1;2;5;5;0;6;0;5;0;3;3;2;0;0;0;0;0;5;0;0;98;0;98;98;6;3;1;10;1;1;1;1;1;1;51;3;99999998;32;10;2;1;99999998;99999998;6;2;2;,884469570665303;,764812990650023
10510;20240922.37521.242;2005;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Nahrungssicherheit in der Schweiz;56; ; ; ; ; ;99; ; ; ; ;10;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Mehr Abzug beim Lohn und nicht wissen, ob je etwas zu bekommen;31;53; ; ; ; ; ;99; ; ; ;5;2;98;5;3;3;2;6;4;8;3;4;10;2;5;2;5;9;5;5;4;6;2;3;5;1;4;3;1;1;3;3;2;4;1;1;3;2;8;2;1;2;2;1;1;2;8;8;2;1;2;3;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;10;1;1;1;1;2;3;32;3;99999998;32;10;2;4;32;3;14;8;8;,937568568780638;,810728423917627
10514;20240922.48351.242;1983;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;4;2;99999998;2;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Wenn die Schweiz bis 2050 CO2 Neutral werden soll, dann muss massiv an Energieerzeuger dazu gebaut werden. Mit dieser Vorlage könnten geplanten Projekte oder zukünftige Projekte massiv zeitlich verhindert werden.;55; ; ; ; ; ;99; ; ; ; ;8;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Das war eine Vorlage von Versicherungen für Versicherungen und nicht eine Vorlage die Schweizer Bevölkerung hilft. Ich persönlich bin für eine tiefere Eintrittsschwelle in die zweite Säule. Wenn man aber Teilzeit arbeitet und mehrere Jobs hat, kann e;35;43;46; ; ; ; ;99; ; ; ;8;6;5;5;8;5;7;5;6;7;6;7;5;7;7;6;6;6;3;3;3;3;2;4;2;3;3;5;2;2;3;1;2;2;8;3;3;1;2;3;1;8;1;1;3;1;2;3;2;1;1;3;1;3;7;7;7;7;2;7;3;8;8;2;5;3;2;1;8;5;0;6;0;0;8;0;8;3;1;9;18;1;1;1;2;2;51;3;99999998;32;10;3;8;99999998;99999998;8;1;1;,41590000960921;,359634452908682
