CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_30;TRUST_33;TRUST_34;TRUST_38;TRUST_39;TRUST_40;TRUST_41;TRUST_42;LRSP;VALUE4;VALUE7;VALUE8;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;COVID1A;COVID1B;COVID1C;VACC;PFLEGE1;PFLEGE2_1;PFLEGE2_2;JUSTI_1;JUSTI_2;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSR;CONFESSD;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3
10763;20211128.89063.212;1948;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;5;1;4;99999998;99999998;10;C'es un métier d'une haute importance qui merite d'être mieux soutenu, remunéré et encouragé;55; ; ; ;Encourager les jeunes à choisir ce métier;27; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;10;Eviter que les juges soient liés à un parti politique;34;31; ; ;Pour une meilleure justice;24; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;8;Le meilleur moyen pour passer cette pendémie;32; ; ;Ete en accord avec moi-même et être solidaire avec tous ceux qui acceptent le risque de la vaccination;44; ; ; ;99999998; ; ; ;99999998; ; ; ;3;5;2;9;5;9;5;8;98;8;8;9;1;7;10;8;2;8;3;1;8;2;8;1;1;1;1;1;2;8;3;1;1;2;1;1;3;4;3;1;1;1;4;2;4;2;2;2;1;3;1;6;2;3;2;8;2;10;5;5;8;2;2;1;0;5;5;98;0;0;98;98;4;98;1;0;1;8;6;7;3;2;10;16;1;1;5;1;4;32;7;3;33;10;1;1;99999998;99999998;8;1;2;1.408981201;1.339435926;1.307813887
10769;20211128.85509.212;1949;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;17;2;99999998;4;99999998;5; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;2;99999998;4;99999998;9; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;1;4;99999998;99999998;10; ;99; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ; ;8;5;3;7;4;8;7;5;5;7;9;9;0;9;9;7;0;9;5;1;6;1;1;1;1;2;8;2;1;2;3;1;1;4;4;4;1;1;1;1;1;1;1;1;4;4;4;2;3;2;1;6;2;3;4;1;2;5;7;9;7;0;7;2;2;1;0;3;0;0;0;0;7;7;5;1;0;6;7;7;2;1;8;2;1;1;2;1;2;32;7;3;32;10;1;1;99999998;99999998;8;2;2;1.258378405;1.041164999;0.915901892
10774;20211128.88621.212;1946;99999998;99999998; ;2;3;2;0;0;0;0;0;0;0;0;0;0;1;16;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;7;98;98;98;98;7;7;98;98;98;7;7;98;8;8;8;98;9;98;5;8;4;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;18;1;1;2;1;6;21;8;8;99999998;98;99999998;2;32;7;6;1;7;1.257045606;1.261612345;1.254596276
10777;20211128.71802.212;1975;99999998;99999998; ;2;3;2;1;0;0;0;0;0;0;0;0;0;0;99;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;4;98;8;1;2;5;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;18;2;2; ;2;99999998;52;3;99999998;32;21;1;1;99999998;99999998;15;1;2;2.214522466;2.220787645;2.20355567
10778;20211128.76322.212;1950;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;2;1;2;99999998;99999998;7; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;2;99999998;98; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;1;2;99999998;99999998;98; ;99; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ; ;8;8;98;6;98;98;8;98;98;98;8;8;0;8;8;98;98;98;98;2;5;2;2;2;2;2;1;1;2;2;3;8;8;8;2;2;2;2;2;8;2;2;3;2;2;3;2;3;1;2;1;4;8;2;8;8;2;0;6;8;8;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;1;98;2;1;2; ;8;99999998;21;7;3;98;10;8;8;99999998;99999998;4;2;1;0.557058645;0.525653738;0.51706086
10779;20211128.77815.212;1945;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;19;2;99999998;4;99999998;8; ;99999998; ; ; ; ;99999998; ; ;Gegenvorschlag war in Ordnung;41; ; ;Kosten!;21; ; ;2;99999998;4;99999998;7; ;99999998; ; ; ; ;99999998; ; ;Eloquente Personen sollten gewählt werden;33; ; ;Losentscheid!;30; ; ;1;4;99999998;99999998;7; ;99; ; ;Zertifikat soll beibehalten werden;26; ; ; ;99999998; ; ; ;99999998; ; ; ;7;8;5;7;5;8;6;4;5;7;4;6;8;8;9;7;5;7;5;3;2;4;2;1;2;1;3;1;1;1;8;1;1;3;4;3;2;2;2;1;2;3;3;2;3;3;4;2;1;2;1;5;8;2;3;4;3;7;5;10;7;8;5;8;98;98;5;98;98;98;98;98;98;98;98;98;98;7;5;8;2;1;10;19;1;1;5;1;6;32;7;3;32;10;1;1;99999998;99999998;5;1;1;1.181897345;1.215746266;1.276075791
10782;20211128.89484.212;1997;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;9;1;4;99999998;99999998;8;Kolleginen die in der Pflege arbeiten und über die Missstände berichten. Angst über die Zukunft (wer wird uns pflegen).;15; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;1;99999998;2; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;1;2;99999998;99999998;7;Vernunft;12; ; ;Um ein Ende dieser Pandemie voranzutreiben.;32; ; ; ;99999998; ; ; ;99999998; ; ; ;8;9;6;5;2;9;7;7;6;10;10;9;0;9;10;7;0;7;1;2;2;1;3;1;1;1;1;1;4;3;3;2;3;8;2;2;3;2;8;1;3;2;1;2;3;3;3;2;1;3;1;2;8;4;8;8;2;3;3;10;9;5;4;0;6;6;0;0;7;6;5;5;2;1;2;0;2;6;3;10;3;1;9;9;1;1;2;1;1;32;3;99999998;33;21;1;1;99999998;99999998;4;2;1;0.810707616;0.618441629;0.665948356
10785;20211128.73384.212;1967;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;17;2;99999998;2;99999998;3; ;99999998; ; ; ; ;99999998; ; ;L'avis du conseil fédéral m'a convaincue;95; ; ; ;99; ; ;2;99999998;4;99999998;0; ;99999998; ; ; ; ;99999998; ; ;Les partis qui ont proposé le projet sont à l'opposé de mes convictions.;92; ; ; ;99; ; ;1;4;99999998;99999998;10;La manière dont le conseil fédéral a géré la crise sanitaire depuis le début me plaît. Il est donc logique pour moi de continuer de soutenir cette manière de procéder.;24; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;10;5;5;2;98;8;7;3;98;4;8;9;98;8;8;98;2;8;5;3;8;4;5;8;3;8;2;2;2;8;8;8;3;8;3;8;2;1;1;1;1;1;8;2;4;1;4;1;1;3;1;6;8;2;3;4;8;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;98;2;98;98;98;3;98;10;2;2;10;4;1;1;1;1;6;52;3;99999998;33;22;2;3;99999998;99999998;6;2;2;0.922133373;1.00774292;0.991269316
10786;20211128.88641.212;1989;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;4;99999998;5; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;2;99999998;4;99999998;5; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;1;2;99999998;99999998;9; ;99; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ; ;7;6;5;3;6;8;7;2;4;4;7;5;0;8;9;5;5;8;5;5;3;1;5;1;1;1;1;2;2;8;4;2;1;4;2;2;2;1;1;2;2;2;1;2;3;3;3;2;1;3;2;3;2;3;8;4;1;6;0;5;0;0;0;0;5;0;0;5;0;0;0;0;4;0;2;0;0;5;0;0;3;1;10;3;1;1;1;1;2;52;1;99999998;12;22;1;1;99999998;99999998;4;2;2;0.85346792;0.877910794;0.921475757
10788;20211128.78843.212;1953;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;2;99999998;10; ;99999998; ; ; ; ;99999998; ; ;das Pflegepersonal muss besser entlöhnt werden, ohne Aufpreis der KK;21; ; ;der Bundesvorschlag hat mich überzeugt;41; ; ;2;99999998;4;99999998;10; ;99999998; ; ; ; ;99999998; ; ;ein Losverfahren ist nicht korrekt und nicht Demokratisch;30;32; ;bin Gegner von Losverfahren;30; ; ;1;4;99999998;99999998;10;bin Impfbefürworter, der Bundesrat ist auf dem richtigen Weg, bin selber Durchgeimpft;34; ; ;nur durch Impfen kommen wir ans Ziel, hasse die Impfgegner;502; ; ; ;99999998; ; ; ;99999998; ; ; ;9;9;6;4;6;8;8;5;8;5;10;9;8;4;10;9;2;9;5;3;3;4;4;2;2;1;1;1;2;1;2;1;1;3;4;4;1;1;1;1;1;3;2;1;4;4;4;2;1;3;1;5;2;2;4;4;2;6;0;8;9;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;9;5;1;10;1;1;1;1;1;1;32;7;3;32;10;1;1;99999998;99999998;6;2;1;1.634881184;1.424880452;1.736727007
10789;20211128.77705.212;1972;99999998;99999998; ;2;1;1;8;8;8;8;8;8;8;8;8;8;8;2;1;2;99999998;99999998;5;Weil die Pflegenden selbst dies das beste Vorgehen fanden;93; ; ; ;Arbeitsbedingungen in der Pflege verbessern. Pflegequalität sichern;52; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;5;Unabhängigkeit der Justiz;32; ; ; ;Dass Parteilose bessere Chancen auf Richteramt haben;25; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;10;Pandemiebekämpfung;33; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;8;7;3;5;3;8;8;3;1;8;7;8;0;8;8;8;0;8;2;1;5;3;1;1;2;1;1;1;8;2;3;1;1;1;2;1;3;4;4;1;1;1;1;1;4;4;4;2;1;3;1;4;2;4;2;4;2;10;0;0;10;10;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;5;0;10;3;1;10;2;1;1; ;2;99999998;52;3;99999998;32;21;2;3;99999998;99999998;12;1;2;0.908229936;0.801706767;1.01655468
10790;20211128.83299.212;1946;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;9;1;4;99999998;99999998;7;Ist wichtig;12; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;9;Weil die SVP bei der letzten wiederwahl so schwierig tat;31; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;10;Es geht nur so;32; ; ;Weil die Demonstranten sich so dumm benehmen;55; ; ; ;99999998; ; ; ;99999998; ; ; ;3;3;2;5;2;9;6;4;3;9;1;9;0;9;7;9;0;9;8;3;6;2;2;1;1;2;3;1;3;3;4;1;1;2;1;3;3;4;4;1;1;1;3;1;4;4;4;2;1;3;1;5;4;2;2;4;2;8;5;5;2;2;2;2;2;4;1;0;0;0;2;1;0;0;0;0;0;8;2;2;4;1;10;9;1;1;1;1;4;51;7;1;12;10;1;1;99999998;99999998;98;1;8;0.910132405;0.921800075;0.852233226
10791;20211128.83195.212;1987;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;2;1;4;99999998;99999998;9;Je travaille dans le social et je vois que on en a besoin;14;24; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;3;99999998;99999998;8;5; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;4;99999998;7; ;99999998; ; ; ;99999998; ; ;Toujours plus de lois ...;12; ; ; ;99; ; ; ;9;9;9;7;9;9;9;9;9;9;8;6;9;9;9;6;9;9;3;3;3;4;4;1;1;1;1;1;4;2;3;8;1;8;8;8;8;8;8;1;1;2;4;3;1;1;1;2;1;3;3;6;3;3;8;8;3;9;2;6;8;10;9;1;3;5;7;1;2;4;0;4;2;0;2;2;3;3;0;5;3;1;10;2;1;2;5;1;4;32;9;3;33;22;2;2;60;3;98;1;1;0.176014496;0.166414933;0.174473722
10794;20211128.85359.212;1966;99999998;99999998; ;2;4;1;8;8;8;8;8;8;8;8;8;8;8;3;1;4;99999998;99999998;5;Tout travail merite un salaire resonnable;55; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;1;1;99999998;99999998;3; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;6;Pour retrouver la vie devant;32; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;2;2;0;1;2;3;2;3;3;1;2;2;2;4;5;4;3;2;98;3;6;6;5;8;1;2;1;2;8;8;8;8;8;8;8;8;8;8;8;1;1;2;8;2;8;4;8;8;8;8;1;4;8;8;8;8;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;1;3;1;3;3;1;1;2;1;2;22;1;99999998;12;10;1;1;99999998;99999998;98;8;2;0.485112999;0.465783282;0.524990773
10796;20211128.89988.212;1961;99999998;99999998; ;2;3;2;0;0;0;1;0;0;0;0;0;0;0;17;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;7;7;6;7;6;7;7;6;6;6;7;8;98;7;7;7;6;7;7;4;9;8;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;7;1;1; ;2;99999998;51;3;99999998;98;10;8;1;99999998;99999998;5;1;1;0.302592467;0.30369176;0.302002871
10799;20211128.75582.212;2002;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;4;99999998;6; ;99999998; ; ; ; ;99999998; ; ;Zu viele Forderungen, der Gegenvorschlag war sehr ausgewogen.;43; ; ; ;99; ; ;2;99999998;4;99999998;0; ;99999998; ; ; ; ;99999998; ; ;Ist ein guer Ansatz, jedoch noch nicht ausgereift.;14; ; ; ;99; ; ;1;4;99999998;99999998;10;Um Menschenleben zu retten!;37; ; ;Ich arbeite selbst im Spital und habe den Trunel daher sehr gut mitbekommen.;16;43; ; ;99999998; ; ; ;99999998; ; ; ;10;9;5;6;7;10;9;6;8;5;10;10;98;10;10;8;0;10;6;3;2;4;1;1;1;1;8;2;1;1;3;1;2;3;4;2;1;1;2;1;1;2;1;1;4;4;4;1;1;3;1;2;3;1;4;4;3;7;0;9;8;3;6;5;10;6;0;5;0;8;7;5;5;4;0;0;1;7;0;10;1;1;10;3;1;1;1;1;2;32;3;99999998;33;10;3;4;32;3;8;2;2;1.305003136;1.301485803;1.669633349
10800;20211128.87617.212;1939;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;3;1;4;99999998;99999998;6; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;2;99999998;3; ;99999998; ; ; ; ;99999998; ; ;Ich wollte es nicht dem Zufall überlassen;30; ; ; ;99; ; ;1;2;99999998;99999998;9;Klare Enscheidung des Behörden;22; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;4;2;2;5;2;7;2;1;4;4;8;8;0;6;8;6;2;6;5;2;9;3;4;1;1;1;1;1;3;2;8;2;2;3;8;2;2;2;2;2;2;8;2;2;4;3;2;3;1;3;1;4;8;8;8;4;2;8;8;8;4;6;6;4;0;4;4;0;0;0;0;0;98;98;98;98;98;8;5;6;2;1;10;16;1;1;1;1;2;32;7;3;32;10;1;1;99999998;99999998;98;1;2;0.488969981;0.381911426;0.376628683
10803;20211128.75481.212;1998;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;2;1;4;99999998;99999998;8;DIE MOMENTANE SITUATION UND DER PERSONALMANGEL;53; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;2;99999998;5; ;99999998; ; ; ; ;99999998; ; ;DIE VORLAGE ERMÖGLICHT IN MEINEN AUGEN NICHT EIN BESSERES VERFAHREN ALS DAS VORHERIGE VERFAHREN;21; ; ; ;99; ; ;1;4;99999998;99999998;10;STÄRKUNG UND UNTERSTÜTZUNG DES BUNDESRATES;24; ; ;GEMEINSAMER KAMPF GEGEN CORONA KLARE UND GENERELLE MASSNAHMEN BESIEGUNG VON CORONA CORONALEUGNER DIE STIMME NEHMEN;44; ; ; ;99999998; ; ; ;99999998; ; ; ;10;8;7;8;7;10;10;7;7;8;10;10;98;8;10;8;0;10;1;1;2;1;1;1;1;2;1;1;3;3;4;2;3;2;2;2;2;2;2;1;1;1;4;1;4;3;4;3;1;3;1;4;8;4;3;3;1;5;0;0;0;0;0;0;0;0;0;0;3;0;10;0;0;0;0;0;0;5;0;10;2;1;10;2;1;1;1;1;2;33;6;6;99999998;10;99999998;4;33;6;1;2;1;0.665347363;0.715848073;0.623020481
10806;20211128.70266.212;1972;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;1;1;4;99999998;99999998;10; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;8;99999998;99999998;99999998;98; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;1;3;99999998;99999998;4; ;99; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ; ;3;2;3;0;2;3;2;2;1;2;2;2;3;2;7;2;1;2;5;6;1;8;1;1;1;1;1;1;4;4;4;8;3;3;3;3;3;3;3;2;3;2;4;3;3;3;4;1;1;3;1;1;1;4;8;8;3;5;5;5;5;5;5;5;7;5;6;8;7;7;5;3;5;5;5;5;5;5;5;5;4;1;10;1;1;2;2;1;1;52;3;99999998;33;22;1;2;52;3;15;2;1;0.344986915;0.363968956;0.323040153
10807;20211128.89741.212;1966;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;2;1;4;99999998;99999998;7;Améliorer les conditions de travail des infirmiers /ières;52; ; ; ;Leur dévouement pendant la pandémie;35;31; ; ;99999998; ; ; ;99999998; ; ;2;99999998;4;99999998;1; ;99999998; ; ; ; ;99999998; ; ;Projet fantaisiste;13; ; ;Caprice d'un riche;31; ; ;1;4;99999998;99999998;8;Question de santé publique;37; ; ;Encourager la vaccination;34; ; ; ;99999998; ; ; ;99999998; ; ; ;8;9;6;7;8;9;8;7;8;7;9;8;7;9;9;7;9;8;4;2;5;2;3;1;1;1;1;1;2;3;3;1;1;8;3;3;3;2;3;1;1;2;3;2;3;3;3;3;1;3;1;6;3;3;3;3;2;6;5;7;8;8;7;8;8;3;7;5;3;3;3;6;4;4;3;3;4;4;3;7;3;2;9;3;2;2;5;1;3;32;3;99999998;33;21;3;2;51;3;9;2;1;0.309893437;0.292422791;0.287642547
10808;20211128.77239.212;1995;99999998;99999998; ;1;3;2;0;0;0;1;0;0;0;0;0;0;0;16;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;6;6;1;6;2;3;2;1;6;2;5;8;5;7;9;4;0;5;98;1;4;4;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;16;1;1; ;2;99999998;21;3;99999998;33;10;2;1;99999998;99999998;4;2;1;1.715075149;1.715470549;1.714839332
10809;20211128.86796.212;1966;99999998;99999998; ;2;3;2;0;0;0;0;0;0;0;1;0;0;0;2;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;9;9;5;7;9;10;9;10;9;10;9;10;9;8;9;8;8;9;10;5;6;6;5;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;5;2;2;2; ;2;99999998;31;8;1;12;23;1;2;31;3;5;2;2;1.569373075;1.594645321;1.547294215
10810;20211128.83126.212;1956;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;1;1;4;99999998;99999998;8;Ich bin 65 und brauche später Pflege;23; ; ; ;Zuwenig Pflegepersonal;53; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;7; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;10;Ich bin geimpft;34; ; ;Reisefreiheit;35; ; ; ;99999998; ; ; ;99999998; ; ; ;2;4;5;5;5;7;4;4;5;3;5;8;5;5;8;5;0;5;8;4;4;8;5;1;1;2;2;2;1;2;3;8;2;2;8;8;2;8;8;1;1;1;8;1;8;2;2;1;1;1;1;5;8;3;8;8;1;0;0;0;0;0;0;1;5;4;0;98;0;0;0;5;98;98;98;98;2;98;98;98;2;1;8;1;1;1;2;1;2;32;9;3;33;10;1;1;99999998;99999998;6;1;1;1.120534522;0.877531099;1.202766959
